predicted class,x,y
Soft tissue pogonion,425,389
Soft tissue Gnathion,413,413
Soft tissue Menton,393,421
Cervical point,349,429.5
Nasion,426,149.5
Sella,297,173.5
Porion,249.5,213
Orbitale,405.5,209
Pterygoid,330,205
Basion,249,257
ANS,437,262
PNS,333,265
A point,429,277
B point,417.5,357
Protuberance menti,418,369.5
Pogonion,417.5,377.5
Menton,406,394
Go-1 Corpuus left,293,345
Go-2 Ramus down,269,261
Articulare,265,241.5
R3,302,250
R1,337,289
Maxilla 1 crown,437,321
Maxilla 1 root,418,277.5
Mandible 1 crown,430,317
Mandible 1 root,413.5,349.5
Maxilla 6 distal,365,301.5
Maxilla 6 root,373,273.5
Mandible 6 distal,361.5,309
Mandible 6 root,357.5,341
Glabella,444.5,129
Soft tissue naison,437.5,169
Dorsum of nose,469.5,225
pronasale,478,250
Colunella,469,265.5
Subnasalle,457,269.5
Soft tissue A point,453,277
Labrale superius,461,297.5
Upper lip,461.5,305.5
Stms,453,317
Upper embrasure,437.5,314
Lower embrasure,433,321
Stmi,449,317.5
Lower lip,457,333
Labial Inferius,453,341
Soft tissue b point,445.5,353
Soft tissue pogonion,441,381
Soft tissue Gnathion,429,397.5
Soft tissue Menton,409.5,409
Cervical point,349,417
Nasion,438,165.5
Sella,301.5,173
Porion,253.5,217
Orbitale,417,229
Pterygoid,337.5,217
Basion,249.5,261.5
ANS,437.5,281
PNS,337.5,273.5
A point,429,293
B point,421.5,381.5
Protuberance menti,422,397
Pogonion,425,409.5
Menton,410,425.5
Go-1 Corpuus left,297,357.5
Go-2 Ramus down,273,265
Articulare,269,241.5
R3,309.5,257
R1,341.5,301
Maxilla 1 crown,445,341
Maxilla 1 root,421.5,297
Mandible 1 crown,437.5,337.5
Mandible 1 root,418,373.5
Maxilla 6 distal,369,322
Maxilla 6 root,380.5,293.5
Mandible 6 distal,369,329
Mandible 6 root,361.5,361
Glabella,457,145.5
Soft tissue naison,450,185
Dorsum of nose,473.5,241
pronasale,478,265.5
Colunella,473,281
Subnasalle,457,289.5
Soft tissue A point,457,293
Labrale superius,461.5,313.5
Upper lip,468.5,325.5
Stms,461,337
Upper embrasure,445,334.5
Lower embrasure,441.5,341
Stmi,457,337
Lower lip,464.5,349
Labial Inferius,461,361
Soft tissue b point,449,377.5
Soft tissue pogonion,448.5,409.5
Soft tissue Gnathion,437,429
Soft tissue Menton,413,437
Cervical point,341,437
Nasion,428.5,165
Sella,298,184.5
Porion,249.5,213
Orbitale,406,221
Pterygoid,329.5,213.5
Basion,245.5,257
ANS,429.5,273.5
PNS,329.5,265.5
A point,417.5,285.5
B point,401.5,365.5
Protuberance menti,401.5,381.5
Pogonion,401,393.5
Menton,389.5,409.5
Go-1 Corpuus left,285,349.5
Go-2 Ramus down,269,261
Articulare,264.5,241
R3,304.5,256.5
R1,329.5,297.5
Maxilla 1 crown,429.5,337
Maxilla 1 root,410,289.5
Mandible 1 crown,418,329.5
Mandible 1 root,397.5,361.5
Maxilla 6 distal,353,309.5
Maxilla 6 root,365.5,281
Mandible 6 distal,353,317.5
Mandible 6 root,341.5,349
Glabella,445,142
Soft tissue naison,437,182
Dorsum of nose,465,241.5
pronasale,472.5,261.5
Colunella,465.5,277.5
Subnasalle,445.5,285.5
Soft tissue A point,445.5,289
Labrale superius,449,309.5
Upper lip,452.5,321.5
Stms,441.5,333
Upper embrasure,429.5,330
Lower embrasure,425.5,333.5
Stmi,437.5,333
Lower lip,441,345
Labial Inferius,437,353
Soft tissue b point,429,365.5
Soft tissue pogonion,425,389
Soft tissue Gnathion,413,409
Soft tissue Menton,393,421.5
Cervical point,317,429
